,,,FPKMs,,,,,,,,,,,,,
,,,"Group 1 (B11, 1 ug dox)",,,"Group 2 (B11, 10 ug dox)",,,,,,,,,,
,Selected by,,NRAS G12V/+,,,NRAS G12V/+,,,,,,,,Rankings,,
Gene Name,DELV?,SRMM?,S13,S14,S15,S16,S17,S18,Avg Grp 1,Avg Grp 2,Fold Chg,Abs Fold Chg,Abs Diff,Abs Fold Chg,Abs Diff,Weighted
MKNK1,,Yes,21.661,18.458,21.312,10.629,7.187,5.172,20.477,7.663,-2.672,2.672,12.815,213,81,199.8
SLC27A3,Yes,Yes,9.027,8.602,9.479,2.811,3.391,3.863,9.036,3.355,-2.693,2.693,5.681,207,146,200.9
H4C15,Yes,Yes,4.273,5.097,4.270,1.963,1.664,1.330,4.547,1.653,-2.751,2.751,2.894,198,234,201.6
GPNMB,,Yes,6.091,6.528,6.675,2.561,3.515,1.029,6.431,2.368,-2.716,2.716,4.063,203,190,201.7
CRYZ,,Yes,2.589,0.973,2.627,4.940,5.215,6.662,2.063,5.606,2.717,2.717,3.543,202,207,202.5
C1orf53,,Yes,2.703,3.102,3.861,1.539,1.292,0.672,3.222,1.168,-2.759,2.759,2.054,194,279,202.5
SASH1,,Yes,11.780,10.094,9.854,5.390,0.760,5.714,10.576,3.955,-2.674,2.674,6.621,212,132,204.0
ALDH8A1,,Yes,2.793,1.992,2.234,1.144,0.885,0.508,2.340,0.846,-2.766,2.766,1.494,193,313,205.0
SESN2,Yes,Yes,30.177,31.666,30.951,11.440,11.767,12.146,30.931,11.784,-2.625,2.625,19.147,222,55,205.3
ZNF343,Yes,Yes,1.501,2.303,1.665,0.621,0.651,0.690,1.823,0.654,-2.787,2.787,1.169,190,357,206.7
PDP2,,Yes,1.827,0.851,1.025,3.474,3.071,3.616,1.234,3.387,2.744,2.744,2.153,200,269,206.9
MTMR1,Yes,Yes,2.006,2.085,1.864,5.003,5.438,5.559,1.985,5.333,2.687,2.687,3.348,208,212,208.4
TRIM66,Yes,Yes,1.075,1.677,1.361,0.641,0.415,0.434,1.371,0.497,-2.758,2.758,0.874,195,382,213.7
ETV4,,Yes,3.043,1.465,3.387,6.926,6.893,7.121,2.631,6.980,2.653,2.653,4.349,218,177,213.9
IL4I1,Yes,Yes,9.805,6.877,9.110,3.387,3.453,2.990,8.597,3.276,-2.624,2.624,5.321,223,153,216.0
TMEM80,,Yes,24.126,22.499,26.849,10.605,13.549,4.463,24.491,9.539,-2.567,2.567,14.952,234,68,217.4
NBPF6,Yes,,1.191,0.920,1.045,0.380,0.492,0.272,1.052,0.381,-2.758,2.758,0.671,196,411,217.5
CIRBP,Yes,Yes,98.484,95.311,96.509,27.205,51.592,36.325,96.768,38.374,-2.522,2.522,58.394,241,23,219.2
LRRC25,Yes,,2.586,2.465,1.446,0.684,1.008,0.732,2.166,0.808,-2.681,2.681,1.358,210,324,221.4
TMOD4,,Yes,1.251,1.543,1.897,0.510,0.400,0.820,1.564,0.576,-2.713,2.713,0.987,205,370,221.5
SLC29A3,,Yes,1.433,1.481,3.214,0.941,0.581,0.761,2.043,0.761,-2.685,2.685,1.282,209,338,221.9
NMRK1,Yes,,2.769,1.850,3.450,4.635,8.386,8.084,2.690,7.035,2.616,2.616,4.345,227,179,222.2
GNG4,Yes,Yes,3.341,2.998,2.923,8.380,7.366,8.227,3.087,7.991,2.588,2.588,4.904,230,162,223.2
PCDH12,Yes,Yes,3.377,3.248,2.830,1.242,1.055,1.256,3.152,1.184,-2.661,2.661,1.967,216,288,223.2
KLHL24,Yes,,0.864,1.448,1.175,2.022,3.987,3.264,1.162,3.091,2.659,2.659,1.929,217,293,224.6
HSD11B1,Yes,,1.114,1.491,0.938,0.447,0.341,0.522,1.181,0.437,-2.704,2.704,0.744,206,400,225.4
ZNF839,Yes,Yes,6.128,5.398,7.604,2.292,3.001,2.074,6.377,2.456,-2.597,2.597,3.921,229,198,225.9
LRRC24,,Yes,6.673,8.659,8.449,4.386,1.145,3.717,7.927,3.083,-2.571,2.571,4.844,233,163,226.0
DLL1,Yes,Yes,9.202,9.225,9.612,24.554,24.559,21.090,9.347,23.401,2.504,2.504,14.055,243,75,226.2
LIMK1,,Yes,14.832,13.526,5.849,29.269,28.001,27.946,11.402,28.405,2.491,2.491,17.003,245,59,226.4
TTBK2,Yes,,2.846,4.751,5.240,1.966,1.440,1.495,4.279,1.634,-2.619,2.619,2.645,225,240,226.5
TP53,Yes,,8.153,4.332,5.418,2.189,3.112,1.626,5.968,2.309,-2.584,2.584,3.659,231,202,228.1
CCDC194,Yes,Yes,1.258,1.302,1.323,0.590,0.336,0.525,1.294,0.483,-2.677,2.677,0.811,211,388,228.7
PTCRA,Yes,,5.841,3.281,4.390,2.337,1.242,1.598,4.504,1.726,-2.610,2.610,2.778,228,237,228.9
ZNF225,Yes,Yes,2.283,1.847,1.530,0.642,0.738,0.755,1.887,0.712,-2.651,2.651,1.175,219,356,232.7
RGS16,Yes,Yes,4.882,4.300,4.092,1.402,2.464,1.286,4.425,1.717,-2.576,2.576,2.707,232,239,232.7
DEPP1,Yes,Yes,2.316,1.801,1.924,0.621,0.888,0.788,2.014,0.765,-2.631,2.631,1.248,221,342,233.1
AC018755.2,Yes,Yes,2.008,2.605,2.050,0.901,0.805,0.840,2.221,0.849,-2.618,2.618,1.373,226,321,235.5
MAP7D1,,Yes,12.164,10.110,3.550,20.513,22.662,20.161,8.608,21.112,2.453,2.453,12.504,253,82,235.9
ZNF385A,Yes,Yes,34.801,39.849,35.319,15.176,16.689,13.394,36.656,15.086,-2.430,2.430,21.570,257,47,236.0
HOXB6,Yes,Yes,1.258,1.300,1.248,0.448,0.496,0.496,1.269,0.480,-2.644,2.644,0.789,220,393,237.3
PLCG1,Yes,Yes,5.267,3.687,4.314,13.427,10.783,8.481,4.423,10.897,2.464,2.464,6.474,250,136,238.6
RNF130,Yes,Yes,37.789,37.594,38.578,16.346,14.900,15.909,37.987,15.718,-2.417,2.417,22.269,262,45,240.3
ASCL2,Yes,,1.177,0.945,1.355,0.331,0.432,0.565,1.159,0.442,-2.621,2.621,0.717,224,405,242.1
TFRC,Yes,Yes,23.651,19.712,19.685,12.309,7.272,6.534,21.016,8.705,-2.414,2.414,12.311,263,86,245.3
AIF1,Yes,Yes,128.365,124.116,124.211,51.254,54.494,51.803,125.564,52.517,-2.391,2.391,73.047,272,19,246.7
SNX30,Yes,,1.237,2.437,2.397,0.889,0.731,0.759,2.024,0.793,-2.552,2.552,1.231,236,344,246.8
FAM161B,Yes,Yes,2.262,1.481,1.777,0.566,0.721,0.863,1.840,0.717,-2.567,2.567,1.123,235,360,247.5
VEGFA,Yes,Yes,82.118,77.475,89.061,33.632,37.603,33.040,82.885,34.759,-2.385,2.385,48.126,273,27,248.4
PIR,Yes,Yes,6.430,6.382,6.941,13.521,15.374,18.728,6.584,15.874,2.411,2.411,9.290,266,100,249.4
H2BC12,Yes,Yes,19.380,15.363,16.875,6.183,8.109,7.139,17.206,7.144,-2.409,2.409,10.062,267,92,249.5
TCHH,Yes,Yes,3.132,3.439,3.326,1.545,1.322,1.129,3.299,1.332,-2.477,2.477,1.967,246,289,250.3
NPFF,Yes,,3.115,1.711,2.046,0.798,1.295,0.661,2.291,0.918,-2.495,2.495,1.373,244,320,251.6
AC104532.1,Yes,Yes,4.561,4.706,5.995,2.404,2.297,1.555,5.087,2.085,-2.440,2.440,3.002,254,231,251.7
B3GLCT,Yes,Yes,2.023,1.525,2.208,0.958,0.502,0.819,1.919,0.760,-2.526,2.526,1.159,240,358,251.8
TYMP,Yes,Yes,41.189,54.641,57.063,21.515,21.829,20.953,50.964,21.432,-2.378,2.378,29.532,276,36,252.0
USP18,Yes,Yes,6.953,7.987,7.487,2.398,3.330,3.544,7.476,3.091,-2.419,2.419,4.385,261,174,252.3
SIX2,Yes,Yes,1.377,1.642,1.064,3.213,3.486,3.390,1.361,3.363,2.471,2.471,2.002,249,284,252.5
ITGAM,Yes,Yes,17.039,16.712,16.941,6.411,7.924,6.842,16.897,7.059,-2.394,2.394,9.838,271,94,253.3
NLRC4,Yes,Yes,1.174,1.158,1.325,0.391,0.498,0.546,1.219,0.478,-2.549,2.549,0.741,237,401,253.4
NBPF4,Yes,Yes,1.381,1.073,1.309,0.445,0.667,0.368,1.254,0.493,-2.543,2.543,0.761,238,396,253.8
DDIT4,Yes,Yes,137.255,133.693,136.365,55.977,71.912,44.446,135.771,57.445,-2.363,2.363,78.326,281,15,254.4
TEX19,Yes,Yes,0.379,0.390,0.648,1.209,1.269,1.123,0.472,1.200,2.542,2.542,0.728,239,402,255.3
ANKRD55,Yes,Yes,2.805,1.447,2.374,6.259,5.005,4.777,2.209,5.347,2.421,2.421,3.138,260,222,256.2
SERPING1,Yes,Yes,1.042,1.121,1.852,0.394,0.641,0.563,1.338,0.533,-2.512,2.512,0.805,242,390,256.8
ZFP1,,Yes,0.528,1.261,0.619,1.974,1.967,2.011,0.803,1.984,2.472,2.472,1.181,248,353,258.5
NMUR1,Yes,Yes,0.954,1.100,1.206,2.551,3.062,2.337,1.086,2.650,2.439,2.439,1.564,255,307,260.2
TMEM158,Yes,Yes,0.737,0.791,1.016,1.992,1.661,2.597,0.848,2.083,2.456,2.456,1.235,252,343,261.1
TMEM262,Yes,,1.432,0.905,0.809,0.512,0.422,0.338,1.049,0.424,-2.473,2.473,0.624,247,414,263.7
AOAH,Yes,Yes,4.172,2.735,5.316,1.771,1.530,1.767,4.074,1.689,-2.412,2.412,2.386,265,253,263.8
H2BC5,Yes,,2.566,2.677,1.821,0.823,1.318,0.768,2.355,0.970,-2.428,2.428,1.385,258,318,264.0
ZC3H12D,Yes,Yes,2.783,3.699,4.325,1.533,1.468,1.475,3.602,1.492,-2.414,2.414,2.110,264,272,264.8
EGR1,Yes,Yes,18.109,16.892,17.120,43.666,38.208,40.184,17.374,40.686,2.342,2.342,23.312,290,43,265.3
FAM13B,,Yes,13.519,10.192,10.133,6.332,5.300,2.684,11.281,4.772,-2.364,2.364,6.509,280,135,265.5
TERT,Yes,Yes,6.987,6.950,8.006,16.612,17.131,17.975,7.314,17.239,2.357,2.357,9.925,285,93,265.8
KCNQ4,Yes,Yes,5.693,3.863,6.091,12.391,11.544,13.028,5.215,12.321,2.362,2.362,7.106,282,126,266.4
METTL7A,,Yes,1.797,1.871,1.863,1.066,0.752,0.454,1.844,0.757,-2.434,2.434,1.086,256,363,266.7
ARL4C,Yes,,1.142,1.114,0.841,0.368,0.580,0.313,1.032,0.420,-2.458,2.458,0.612,251,415,267.4
MAMDC4,,Yes,11.576,11.124,24.136,6.393,6.832,6.672,15.612,6.632,-2.354,2.354,8.980,286,104,267.8
POU4F2,Yes,Yes,3.424,2.500,2.921,7.161,6.701,7.166,2.948,7.010,2.378,2.378,4.062,277,191,268.4
ITGAL,Yes,Yes,43.044,35.962,30.410,19.047,17.199,10.966,36.472,15.737,-2.318,2.318,20.735,293,52,268.9
RDH5,Yes,Yes,3.334,3.221,4.586,2.003,1.302,1.343,3.714,1.549,-2.397,2.397,2.164,270,267,269.7
TCTA,Yes,Yes,24.027,24.220,23.285,11.272,11.172,8.582,23.844,10.342,-2.306,2.306,13.502,294,77,272.3
DLK2,,Yes,1.247,1.313,1.287,0.783,0.364,0.438,1.282,0.528,-2.427,2.427,0.754,259,399,273.0
RHOBTB1,Yes,Yes,1.073,1.151,1.288,2.873,2.572,2.909,1.170,2.785,2.379,2.379,1.614,275,306,278.1
KLF10,Yes,Yes,14.780,16.162,15.331,7.566,6.628,5.907,15.424,6.700,-2.302,2.302,8.724,298,106,278.8
DNASE2,Yes,Yes,27.893,27.702,27.365,11.483,12.246,12.569,27.653,12.099,-2.285,2.285,15.554,303,65,279.2
GNMT,Yes,Yes,2.010,2.287,2.519,0.927,0.804,1.127,2.272,0.953,-2.384,2.384,1.319,274,331,279.7
SULT4A1,Yes,Yes,1.622,1.394,1.070,0.556,0.654,0.487,1.362,0.566,-2.408,2.408,0.796,268,392,280.4
LRRC27,Yes,,1.068,1.558,1.678,0.751,0.665,0.376,1.435,0.597,-2.402,2.402,0.837,269,387,280.8
OSCAR,Yes,Yes,9.358,10.224,11.793,4.778,4.924,3.939,10.458,4.547,-2.300,2.300,5.912,299,140,283.1
AL807752.7,Yes,,3.644,3.098,2.371,1.081,1.717,1.060,3.038,1.286,-2.362,2.362,1.751,283,300,284.7
TMEM268,Yes,Yes,6.451,6.194,6.621,2.601,2.682,3.081,6.422,2.788,-2.303,2.303,3.634,295,204,285.9
FAM43A,Yes,Yes,12.518,15.084,15.242,6.707,6.321,5.780,14.281,6.270,-2.278,2.278,8.012,306,114,286.8
ZCCHC7,Yes,Yes,9.846,10.047,8.836,5.277,3.367,3.901,9.576,4.181,-2.290,2.290,5.395,302,150,286.8
SMIM14,Yes,Yes,1.648,1.298,1.415,3.401,3.423,3.442,1.454,3.422,2.354,2.354,1.968,287,287,287.0
MXRA8,,Yes,1.587,1.866,2.123,0.969,1.047,0.339,1.859,0.785,-2.367,2.367,1.074,279,364,287.5
NTN1,Yes,Yes,1.403,1.577,1.543,0.529,0.594,0.782,1.508,0.635,-2.374,2.374,0.873,278,383,288.5
IRF8,Yes,Yes,197.004,144.784,197.038,388.404,394.416,417.520,179.609,400.113,2.228,2.228,220.504,325,6,293.1
PRPF3,Yes,Yes,42.572,34.738,42.496,18.173,19.889,15.476,39.935,17.846,-2.238,2.238,22.089,322,46,294.4
ITPK1,Yes,,3.200,2.775,4.145,6.676,10.270,6.063,3.373,7.670,2.274,2.274,4.296,307,182,294.5
SIRPB2,Yes,Yes,1.432,1.078,1.204,0.556,0.661,0.359,1.238,0.525,-2.357,2.357,0.713,284,406,296.2
GPR183,Yes,Yes,1.885,1.493,1.683,0.805,0.882,0.470,1.687,0.719,-2.346,2.346,0.968,288,373,296.5
TTLL11,Yes,,1.329,2.477,2.526,0.827,0.821,1.063,2.111,0.904,-2.336,2.336,1.207,291,350,296.9
H2BC9,Yes,Yes,3.593,3.700,3.779,1.564,1.945,1.316,3.691,1.608,-2.295,2.295,2.083,300,274,297.4
AC006254.1,Yes,Yes,1.413,1.653,1.448,0.699,0.580,0.645,1.505,0.642,-2.345,2.345,0.863,289,385,298.6
LIMA1,Yes,Yes,5.159,5.880,5.711,12.276,11.200,14.120,5.583,12.532,2.245,2.245,6.949,319,131,300.2
BTN3A2,,Yes,3.587,6.436,8.035,12.499,13.160,14.821,6.020,13.493,2.242,2.242,7.474,320,123,300.3
RUBCNL,Yes,Yes,37.559,37.022,35.692,81.057,77.059,84.729,36.758,80.948,2.202,2.202,44.191,331,31,301.0
MS4A3,Yes,Yes,26.503,26.147,20.169,11.301,9.296,12.114,24.273,10.903,-2.226,2.226,13.370,326,80,301.4
IFI35,Yes,Yes,114.599,112.157,99.645,46.707,49.988,52.037,108.800,49.577,-2.195,2.195,59.223,334,21,302.7
CCDC153,Yes,,1.031,0.940,1.817,0.615,0.374,0.640,1.263,0.543,-2.325,2.325,0.720,292,404,303.2
SMPDL3A,Yes,Yes,3.726,4.701,3.498,1.576,1.908,1.770,3.975,1.751,-2.270,2.270,2.224,308,264,303.6
RELCH,Yes,Yes,3.696,4.466,3.986,1.742,1.608,2.006,4.050,1.785,-2.268,2.268,2.264,309,260,304.1
ZMAT1,Yes,Yes,2.364,2.150,2.339,1.170,0.683,1.135,2.284,0.996,-2.294,2.294,1.288,301,336,304.5
AC004076.1,Yes,Yes,1.093,1.930,1.226,0.594,0.670,0.581,1.416,0.615,-2.303,2.303,0.801,296,391,305.5
CDA,Yes,Yes,2.213,2.259,1.481,4.925,4.804,3.743,1.984,4.491,2.263,2.263,2.506,312,249,305.7
HACD2,Yes,Yes,3.681,3.357,3.969,1.607,1.720,1.527,3.669,1.618,-2.267,2.267,2.051,310,280,307.0
C1QTNF6,Yes,Yes,0.471,0.762,0.512,1.210,1.259,1.547,0.581,1.339,2.302,2.302,0.757,297,397,307.0
CXCR4,Yes,Yes,17.967,16.430,16.593,7.869,8.944,6.354,16.997,7.722,-2.201,2.201,9.274,332,101,308.9
S1PR5,Yes,Yes,2.226,1.653,2.068,5.027,4.192,4.148,1.982,4.456,2.248,2.248,2.473,316,250,309.4
B3GNT7,Yes,Yes,2.604,3.137,2.961,6.180,6.058,7.266,2.901,6.501,2.241,2.241,3.601,321,206,309.5
CA2,Yes,Yes,1184.261,1195.743,1163.258,2513.371,2297.103,2837.554,1181.087,2549.343,2.158,2.158,1368.256,344,1,309.7
CCND1,Yes,Yes,2.590,1.991,2.230,5.314,4.791,5.190,2.271,5.098,2.245,2.245,2.828,318,236,309.8
APOBR,Yes,Yes,29.481,30.425,29.327,14.227,15.149,11.588,29.744,13.655,-2.178,2.178,16.089,338,61,310.3
EWSR1,,Yes,131.033,144.567,142.293,86.432,85.311,21.844,139.298,64.529,-2.159,2.159,74.768,343,17,310.4
STX1A,Yes,,1.429,1.052,1.954,4.329,3.142,2.539,1.479,3.337,2.257,2.257,1.858,313,295,311.2
GNG7,Yes,Yes,1.330,1.392,1.776,4.026,3.160,2.954,1.499,3.380,2.254,2.254,1.881,314,294,312.0
CDRT4,,Yes,0.711,0.771,0.764,2.577,1.268,1.271,0.748,1.705,2.278,2.278,0.957,305,375,312.0
PRSS36,Yes,Yes,7.968,8.003,8.246,4.159,2.918,3.849,8.072,3.642,-2.217,2.217,4.431,328,171,312.3
UTF1,Yes,Yes,1.113,1.655,1.073,0.559,0.524,0.598,1.280,0.560,-2.285,2.285,0.720,304,403,313.9
CHCHD6,Yes,Yes,3.334,3.288,2.737,6.857,6.202,7.701,3.120,6.920,2.218,2.218,3.800,327,200,314.3
HAL,Yes,Yes,3.008,3.965,2.843,9.058,6.327,6.370,3.272,7.252,2.216,2.216,3.980,329,196,315.7
PRNP,,Yes,9.042,9.032,9.210,5.543,6.004,0.853,9.095,4.134,-2.200,2.200,4.961,333,161,315.8
SIGLEC14,Yes,Yes,4.552,4.759,4.726,2.225,2.159,1.914,4.679,2.099,-2.229,2.229,2.580,324,242,315.8
PALM,Yes,Yes,1.017,1.060,1.108,2.521,2.298,2.356,1.062,2.392,2.253,2.253,1.330,315,328,316.3
FKBP4,Yes,Yes,10.740,11.262,10.319,22.726,23.277,23.393,10.773,23.132,2.147,2.147,12.359,345,85,319.0
HMOX1,Yes,Yes,3.560,3.670,3.724,2.071,1.219,1.615,3.652,1.635,-2.234,2.234,2.017,323,283,319.0
ESF1,Yes,Yes,3.622,4.058,3.408,8.005,7.538,8.754,3.696,8.099,2.191,2.191,4.403,336,172,319.6
TBCEL-TECTA,Yes,,1.377,1.278,0.972,0.504,0.554,0.544,1.209,0.534,-2.265,2.265,0.675,311,410,320.9
WARS1,Yes,Yes,168.587,184.292,169.385,82.867,83.420,78.746,174.088,81.678,-2.131,2.131,92.410,356,13,321.7
NAGK,Yes,Yes,19.446,16.812,17.134,7.589,9.762,7.549,17.797,8.300,-2.144,2.144,9.497,347,99,322.2
TNFSF13,Yes,Yes,6.917,7.680,9.294,3.943,4.206,2.838,7.964,3.662,-2.175,2.175,4.302,339,181,323.2
ADM2,Yes,Yes,16.324,16.376,16.493,8.191,7.642,7.137,16.398,7.657,-2.142,2.142,8.741,349,105,324.6
TUBA4A,Yes,Yes,5.047,7.743,6.783,14.531,13.358,14.036,6.524,13.975,2.142,2.142,7.451,348,124,325.6
HILPDA,Yes,Yes,6.034,8.302,7.704,17.427,17.025,12.736,7.347,15.729,2.141,2.141,8.383,350,109,325.9
YJEFN3,Yes,,8.914,8.791,14.087,6.273,4.664,3.877,10.597,4.938,-2.146,2.146,5.659,346,147,326.1
ARAP3,Yes,,0.471,0.527,0.607,0.945,1.481,1.177,0.535,1.201,2.245,2.245,0.666,317,412,326.5
TMEM263,Yes,,1.881,2.399,2.687,3.970,5.602,5.690,2.322,5.087,2.191,2.191,2.765,337,238,327.1
TAGAP,Yes,Yes,5.000,6.160,5.339,2.764,2.042,2.784,5.500,2.530,-2.174,2.174,2.970,340,233,329.3
IFITM3,Yes,Yes,254.791,280.509,241.957,123.739,119.975,124.528,259.085,122.747,-2.111,2.111,136.338,365,9,329.4
TNFSF13B,,Yes,2.421,2.698,2.235,1.360,0.576,1.386,2.451,1.108,-2.213,2.213,1.344,330,325,329.5
IFIH1,Yes,Yes,5.923,6.284,5.013,2.693,2.478,2.757,5.740,2.643,-2.172,2.172,3.097,341,226,329.5
LCAT,Yes,Yes,5.777,5.284,6.468,2.515,2.884,2.705,5.843,2.702,-2.163,2.163,3.141,342,221,329.9
DZANK1,Yes,Yes,11.199,12.695,11.827,28.205,25.387,22.509,11.907,25.367,2.130,2.130,13.460,358,78,330.0
NATD1,Yes,Yes,9.939,10.572,10.744,4.783,5.157,4.666,10.418,4.869,-2.140,2.140,5.550,352,148,331.6
FCGR1B,Yes,,38.406,29.556,33.627,20.478,15.689,11.891,33.863,16.020,-2.114,2.114,17.843,363,56,332.3
DDX39A,Yes,,82.417,80.774,136.303,46.890,60.000,35.423,99.831,47.438,-2.104,2.104,52.393,367,25,332.8
SASH3,Yes,Yes,12.409,11.064,10.238,5.438,5.702,4.682,11.237,5.274,-2.131,2.131,5.963,357,139,335.2
LY6E,Yes,Yes,157.185,170.651,154.322,74.048,79.868,76.393,160.719,76.770,-2.094,2.094,83.950,371,14,335.3
NPIPA5,Yes,Yes,18.618,18.612,17.389,7.662,9.678,8.473,18.206,8.604,-2.116,2.116,9.602,362,97,335.5
H1-0,Yes,Yes,100.832,99.086,102.570,51.056,49.443,44.070,100.829,48.190,-2.092,2.092,52.640,373,24,338.1
ALS2CL,Yes,,2.372,2.807,3.033,5.737,7.442,4.374,2.737,5.851,2.137,2.137,3.114,354,224,341.0
LEAP2,Yes,,1.169,1.148,0.852,0.480,0.511,0.454,1.056,0.482,-2.192,2.192,0.574,335,417,343.2
RCN3,,Yes,8.093,7.552,8.208,4.998,3.767,2.484,7.951,3.750,-2.120,2.120,4.201,361,184,343.3
BRPF3,Yes,Yes,10.047,10.026,7.048,4.381,4.171,4.290,9.041,4.280,-2.112,2.112,4.760,364,165,344.1
PRDX3,Yes,Yes,57.606,55.210,49.989,111.763,105.036,121.583,54.269,112.794,2.078,2.078,58.525,381,22,345.1
UNC93B1,Yes,Yes,87.040,100.407,95.796,47.044,45.164,44.205,94.414,45.471,-2.076,2.076,48.943,382,26,346.4
NCF2,Yes,Yes,10.335,10.147,8.745,5.079,4.848,3.961,9.742,4.629,-2.104,2.104,5.113,368,156,346.8
PLXND1,Yes,Yes,6.838,6.609,9.195,16.074,14.725,16.496,7.547,15.765,2.089,2.089,8.218,374,111,347.7
ADCY7,Yes,Yes,20.205,20.415,22.465,6.349,12.052,11.904,21.028,10.101,-2.082,2.082,10.927,378,88,349.0
MT-ND6,Yes,Yes,532.343,519.649,513.233,289.855,281.508,186.011,521.741,252.458,-2.067,2.067,269.283,389,4,350.5
NAIP,Yes,Yes,2.908,2.904,2.767,1.312,1.410,1.298,2.860,1.340,-2.134,2.134,1.520,355,311,350.6
CD300LF,Yes,Yes,17.382,17.175,20.546,8.112,10.154,8.303,18.367,8.856,-2.074,2.074,9.511,384,98,355.4
ADAMTS1,Yes,Yes,1.249,1.320,1.833,0.668,0.657,0.731,1.467,0.686,-2.140,2.140,0.782,351,395,355.4
SDHAF4,Yes,Yes,16.553,15.834,16.618,30.525,33.592,37.073,16.335,33.730,2.065,2.065,17.395,390,58,356.8
USP45,Yes,Yes,0.765,0.547,0.764,1.288,1.298,1.853,0.692,1.480,2.138,2.138,0.788,353,394,357.1
PRKAR2B,Yes,Yes,5.472,4.450,4.488,2.365,2.390,2.128,4.803,2.294,-2.094,2.094,2.509,370,248,357.8
USP41,Yes,Yes,2.596,2.320,2.236,0.910,0.991,1.472,2.384,1.124,-2.121,2.121,1.260,360,341,358.1
EXOSC7,Yes,Yes,19.393,17.857,26.125,40.639,45.909,43.776,21.125,43.441,2.056,2.056,22.316,394,44,359.0
PVRIG,Yes,Yes,3.309,4.155,4.443,2.071,1.627,1.989,3.969,1.896,-2.094,2.094,2.074,369,276,359.7
ELOC,,Yes,52.027,25.836,53.658,90.658,87.270,91.296,43.840,89.741,2.047,2.047,45.901,398,30,361.2
EXD3,Yes,,9.662,7.371,6.903,18.412,16.904,14.069,7.979,16.461,2.063,2.063,8.483,391,107,362.6
SLC7A11,Yes,Yes,1.489,1.310,1.480,0.745,0.598,0.673,1.426,0.672,-2.122,2.122,0.754,359,398,362.9
ACYP2,Yes,,4.280,3.258,5.094,2.011,1.747,2.293,4.211,2.017,-2.088,2.088,2.194,375,265,364.0
ZNF821,Yes,,4.812,6.800,4.858,3.359,2.461,2.094,5.490,2.638,-2.081,2.081,2.852,379,235,364.6
PTGER4,Yes,Yes,26.767,31.883,34.790,15.814,17.228,12.791,31.146,15.278,-2.039,2.039,15.868,400,62,366.2
SLC26A1,Yes,,1.469,1.761,2.295,0.907,1.005,0.709,1.842,0.874,-2.108,2.108,0.968,366,372,366.6
COG3,Yes,Yes,2.515,3.745,3.035,6.232,5.774,7.243,3.098,6.416,2.071,2.071,3.318,385,213,367.8
IKBKE,Yes,Yes,12.657,14.462,13.900,7.132,8.057,4.783,13.673,6.657,-2.054,2.054,7.016,395,129,368.4
JCAD,Yes,Yes,1.296,1.465,1.338,2.821,2.777,2.940,1.366,2.846,2.083,2.083,1.480,377,315,370.8
CENPK,Yes,Yes,7.823,8.148,8.999,4.184,4.410,3.524,8.324,4.039,-2.061,2.061,4.284,392,183,371.1
ZNF653,Yes,Yes,2.013,2.543,3.039,1.279,1.129,1.237,2.532,1.215,-2.084,2.084,1.317,376,332,371.6
ICE1,Yes,Yes,3.617,3.565,2.919,1.633,1.504,1.718,3.367,1.618,-2.081,2.081,1.749,380,302,372.2
LGALS3BP,Yes,Yes,11.716,14.463,12.620,6.021,6.421,6.604,12.933,6.349,-2.037,2.037,6.584,401,134,374.3
CRELD1,Yes,Yes,8.953,11.831,10.151,20.434,22.055,19.853,10.312,20.781,2.015,2.015,10.469,407,89,375.2
CD244,Yes,,6.217,5.027,7.619,2.257,3.924,2.991,6.288,3.057,-2.057,2.057,3.230,393,217,375.4
PKD2,Yes,,3.170,3.746,4.603,2.206,1.674,1.685,3.840,1.855,-2.070,2.070,1.985,386,286,376.0
TBC1D3B,Yes,,0.798,1.431,1.116,0.639,0.507,0.451,1.115,0.533,-2.093,2.093,0.583,372,416,376.4
DERL3,Yes,Yes,2.306,2.666,2.671,1.139,1.067,1.477,2.548,1.228,-2.075,2.075,1.320,383,330,377.7
LDHD,Yes,Yes,6.420,7.176,7.105,14.016,14.006,13.742,6.900,13.921,2.017,2.017,7.021,406,128,378.2
IL3RA,Yes,Yes,16.020,19.368,18.487,8.891,9.550,8.334,17.958,8.925,-2.012,2.012,9.033,409,103,378.4
SLCO4A1,Yes,Yes,4.658,4.027,5.095,9.552,10.160,8.191,4.593,9.301,2.025,2.025,4.708,403,167,379.4
CD83,Yes,Yes,4.144,4.804,4.504,1.418,2.746,2.391,4.484,2.185,-2.052,2.052,2.299,396,257,382.1
AFF3,Yes,,1.586,2.043,2.853,1.264,0.944,0.924,2.161,1.044,-2.070,2.070,1.117,387,361,384.4
ABTB2,Yes,Yes,2.290,2.090,2.093,1.083,1.077,0.969,2.158,1.043,-2.069,2.069,1.115,388,362,385.4
PDLIM4,Yes,Yes,5.908,8.063,8.923,15.371,15.367,15.080,7.631,15.273,2.001,2.001,7.641,417,121,387.4
CYB5D1,Yes,,6.074,3.581,5.428,2.678,3.153,1.640,5.028,2.490,-2.019,2.019,2.537,405,245,389.0
EIF2AK2,Yes,Yes,5.120,4.340,4.664,2.261,2.231,2.503,4.708,2.332,-2.019,2.019,2.376,404,254,389.0
